Time,Count,Goal,Pcnt
2019-08-03 15:16:46.803276,1777924,1777924,100
2019-08-03 15:22:48.632289,1779282,1779282,100
2019-08-05 09:01:57.888854,1936578,1936578,100
2019-08-05 12:26:00.028338,1945157,1945157,100
2019-08-05 15:38:30.625569,1959072,1959072,100
2019-08-05 16:33:42.325542,1959125,1959125,100
2019-08-05 22:36:33.851913,1971806,1971806,100
2019-08-06 11:41:42.379482,2047931,2047931,100
2019-08-06 11:52:41.707341,2068944,2068944,100
2019-08-06 11:54:43.191614,2068944,2068944,100
2019-08-06 12:34:13.977594,2084369,2084369,100
2019-08-06 14:14:37.720558,2093593,2093593,100
2019-08-06 16:12:48.463260,2105752,2105752,100
2019-08-07 16:44:01.408537,2164153,2164153,100
2019-08-08 09:47:29.671895,2222712,2222712,100
2019-08-08 14:28:49.072058,2276147,2276147,100
2019-08-08 15:53:18.363267,2320771,2320771,100
2019-08-08 20:44:43.047572,2421423,2421423,100
2019-08-08 22:18:40.592481,2442283,2442283,100
2019-08-09 10:29:07.289897,2601118,2601118,100
2019-08-09 11:27:14.575937,2609769,2609769,100
2019-08-09 12:00:20.322249,2614242,2614242,100
2019-08-09 14:51:49.900613,2649233,2649233,100
2019-08-09 16:12:13.860106,2664360,2664360,100
