0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,Warren,Gabbard,Booker,Pence,Gillibrand,Klobuchar,Clinton,Castro,Cuomo,Kasich,DJohnson,Obama,Winfrey,Rubio,Ryan,Bloomberg,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Klobuchar,Gillibrand,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Gillibrand,Klobuchar,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Gillibrand,Klobuchar,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Gillibrand,Klobuchar,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Gillibrand,Klobuchar,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Gillibrand,Klobuchar,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Biden,Sanders,Harris,ORourke,Buttigieg,Yang,DJohnson,Warren,Gabbard,Booker,Gillibrand,Klobuchar,Clinton,Cuomo,Pence,Obama,Kasich,Castro,Bloomberg,Winfrey,I_Trump,Ryan,Rubio,Cruz,Kaine,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Sanders,Harris,ORourke,Biden,Buttigieg,Yang,Warren,Gabbard,Klobuchar,Booker,Pence,Gillibrand,Clinton,Cuomo,Ryan,DJohnson,Obama,Castro,Winfrey,Kasich,Bloomberg,Rubio,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Sanders,Harris,ORourke,Biden,Buttigieg,Yang,Warren,Gabbard,Klobuchar,Booker,Pence,Gillibrand,Clinton,Cuomo,Ryan,DJohnson,Obama,Castro,Winfrey,Kasich,Bloomberg,Rubio,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Sanders,Harris,ORourke,Biden,Buttigieg,Yang,Warren,Gabbard,Klobuchar,Booker,Gillibrand,Clinton,Pence,Cuomo,Ryan,DJohnson,Obama,Winfrey,Castro,Kasich,Bloomberg,Rubio,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Sanders,Harris,ORourke,Biden,Buttigieg,Yang,Warren,Gabbard,Klobuchar,Booker,Gillibrand,Clinton,Pence,Cuomo,Ryan,DJohnson,Obama,Winfrey,Castro,Kasich,Bloomberg,Rubio,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Sanders,Harris,ORourke,Biden,Buttigieg,Yang,Warren,Klobuchar,Gabbard,Booker,Gillibrand,Clinton,Pence,Cuomo,DJohnson,Obama,Winfrey,Castro,Kasich,Ryan,Bloomberg,Rubio,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
Time,Trump,Sanders,Harris,ORourke,Biden,Buttigieg,Yang,Warren,Klobuchar,Gabbard,Booker,Gillibrand,Clinton,Pence,Cuomo,DJohnson,Obama,Winfrey,Castro,Kasich,Ryan,Bloomberg,Rubio,Cruz,Kaine,I_Trump,Gowdy,Zuckerberg,Cuban,Brown,Avenatti,Other
