Time,Count,Goal,Pcnt
2019-08-03 15:16:46.803276,1777924,1777924,100
2019-08-03 15:22:48.632289,1779282,1779282,100
2019-08-05 09:01:57.888854,1936578,1936578,100
2019-08-05 12:26:00.028338,1945157,1945157,100
2019-08-05 15:38:30.625569,1959072,1959072,100
2019-08-05 16:33:42.325542,1959125,1959125,100
2019-08-05 22:36:33.851913,1971806,1971806,100
2019-08-06 11:41:42.379482,2047931,2047931,100
2019-08-06 11:52:41.707341,2068944,2068944,100.0
2019-08-06 11:54:43.191614,2068944,2068944,100.0
